Reporter,Partner,Product categories,Indicator Type,Indicator,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,World,Vegetable,Export,Export(US$ Mil),         117643.47,         115886.03,         110065.35,          99920.96,          99246.95,         101997.33,         103251.51,          99550.21,         100156.92,          74995.10,          61964.38,          75333.64,          58473.01,          44511.83,          40841.70,          37184.89,          32171.09,          25970.32,          25668.91,          23988.56,          26486.88,          30512.95,          30284.04,          25408.13,          24353.65,          21241.71,          13740.53,           9059.51,           8759.95,           5899.63,           4071.52,
,World,Wood,Export,Export(US$ Mil),          25649.83,          28258.20,          24306.66,          22192.99,          22895.04,          23186.82,          22089.03,          21049.90,          22153.24,          20342.18,          16765.29,          20818.20,          19224.94,          16914.19,          15186.10,          13875.30,          11441.67,           9853.87,          10024.73,          10198.65,           9157.67,           8356.59,           8636.82,           7956.04,           9136.86,           6562.24,           5376.69,           4584.05,           3274.81,           2910.38,           1756.44,
,World,All Products,Export,Exports (in US$ Mil),         998109.03,        1017869.84,         943976.64,         844603.89,         874074.66,         997279.17,        1098145.83,        1103752.53,        1085819.97,         879514.84,         693172.74,         880667.68,         701213.31,         682117.95,         569318.85,         470978.84,         377779.17,         343416.71,         340245.58,         348140.06,         289402.30,         269305.69,         278240.63,         248898.27,         216976.65,         177052.82,         129481.12,         110039.69,          81716.84,          67407.74,          35543.00,
,World,Capital goods,Import,Import(US$ Mil),         358821.31,         370153.69,         341570.96,         322138.50,         347324.64,         367971.11,         389786.56,         382471.61,         363508.85,         308317.83,         240078.29,         299975.22,         236913.51,         222038.38,         187284.66,         157126.45,         128229.59,         126890.36,         140684.86,         139785.16,         123739.47,         125447.39,         116244.00,          92096.96,          77601.86,          68383.22,          48733.36,          37258.34,          24853.93,          19120.50,           5591.10,
,World,Consumer goods,Import,Import(US$ Mil),         304072.20,         335655.31,         318678.98,         273291.22,         298731.48,         343799.38,         359642.16,         351186.33,         340182.74,         268719.32,         201577.90,         262547.19,         214186.61,         180434.05,         151034.14,         120887.42,         102858.58,          99189.06,         106814.78,         102402.71,          82786.03,          84818.04,          79085.15,          62763.39,          57041.09,          50657.93,          35635.27,          26316.51,          15567.67,          10803.49,           1832.76,
,World,Intermediate goods,Import,Import(US$ Mil),         214999.85,         227444.17,         204104.50,         185857.69,         206692.90,         227346.03,         241497.41,         246135.06,         241108.66,         194179.97,         151041.15,         203933.42,         158898.17,         134165.31,         117271.82,         101083.60,          80759.80,          74163.73,          78488.40,          77468.19,          69823.48,          72711.50,          70353.42,          60622.19,          57161.06,          46545.49,          34201.82,          26898.34,          20957.34,          15297.33,           6059.79,
,World,Raw materials,Import,Import(US$ Mil),          63354.25,          69788.88,          58806.33,          50213.96,          59648.19,          82688.34,          91883.55,          86958.88,          92863.54,          69304.69,          57446.36,          87729.41,          63010.12,          52054.78,          44317.96,          37565.84,          29824.45,          26256.10,          26975.24,          26948.81,          22328.25,          23458.95,          25846.46,          25130.95,          18908.08,          16722.35,          12963.86,          13669.43,          12320.35,          11341.62,           6767.97,
,World,All Products,Import,Imports (in US$ Mil),         980570.09,        1040758.70,         959640.47,         864060.39,         944961.20,        1054020.24,        1098262.91,        1082142.73,        1049659.17,         848423.94,         659485.36,         863331.72,         713262.87,         624838.51,         504549.98,         422331.71,         346498.23,         333195.51,         358133.39,         359328.25,         311507.44,         318200.31,         304724.99,         250637.84,         222820.57,         195946.45,         143259.11,         113518.15,          80965.91,          60388.93,          20618.53,
,...,...,Development,"GNI per capita, Atlas method (current US$)",   8794.06,   8720.46,   8426.15,   8552.56,   9281.50,  10093.76,  10201.70,   9795.47,   8881.60,   8053.15,   7269.08,   7100.02,   6158.72,   5278.57,   4584.41,   4093.78,   3774.16,   3784.55,   4036.58,   4152.77,   4056.75,   4253.72,   4273.01,   3987.15,   3681.85,   3450.80,   3217.74,   2988.89,   2698.92,   2342.48,   2241.53,   2135.37
,...,...,Trade Indicator,HH Market concentration index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,...,...,Trade Indicator,Index of export market penetration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,...,...,Development,Trade (% of GDP),     45.95,     47.32,     43.67,     43.46,     43.65,     43.19,     44.26,     44.82,     45.18,     42.76,     40.13,     46.96,     45.32,     45.41,     44.91,     45.04,     42.80,     40.88,     38.45,     38.31,     36.40,     35.00,     35.17,     35.18,     34.11,     31.55,     30.89,     32.48,     31.73,     32.35,     31.59,     31.26
,...,...,Development,Trade Balance (% of GDP),     -0.72,     -0.95,     -0.55,     -0.69,     -1.66,     -2.77,     -1.93,     -0.87,      0.16,      0.35,     -0.06,     -0.20,      1.16,      2.61,      3.09,      3.09,      2.83,      1.92,     -1.28,     -0.72,     -1.12,     -2.72,     -1.67,     -0.32,     -0.71,     -1.19,     -1.24,     -0.66,      0.39,      2.15,      2.85,      2.26
,...,...,Development,Trade in services (% of GDP),      7.63,      7.76,      7.35,      7.53,      7.25,      6.44,      6.34,      6.21,      5.88,      5.65,      6.13,      6.17,      6.21,      6.16,      6.48,      6.65,      6.81,      6.56,      6.16,      6.05,      6.04,      5.47,      5.56,      5.47,      5.67,      5.76,      6.06,      6.35,      5.29,      6.19,      6.27,      6.14
,Argentina,All Products,Export,Partner share(%)-Top 5 Export Partner,,,      2.51,,,,,,      2.72,      2.68,,,      2.63,,,,,,      1.99,      2.36,      2.45,      3.35,      3.25,      2.88,,,      3.74,      3.68,,,,
,Argentina,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,      3.49,      3.49,      3.41,      4.20,      4.43,      4.55,      4.31,      3.56,      2.95,      3.06,      3.70,      4.15,      6.67,
,Brazil,All Products,Export,Partner share(%)-Top 5 Export Partner,      2.61,      2.77,      2.66,      2.73,      2.97,      3.54,      3.54,      3.46,      3.46,      3.56,      3.35,      3.47,      3.17,      2.74,      2.44,      2.40,      2.18,      2.40,      3.27,      3.59,      3.05,      4.39,      4.61,      4.50,      4.88,      3.61,,,,,,
,Brazil,All Products,Import,Partner share(%)-Top 5 Import Partner,      4.40,      4.87,      4.49,      4.10,      3.80,      3.72,      4.35,      4.44,      5.13,      5.14,      4.88,      5.42,      5.56,      5.54,      5.98,      5.39,      4.42,      3.42,      3.75,      3.76,      3.49,      4.13,      4.29,      4.24,      4.19,      4.92,      4.82,      2.79,,,,
,Canada,All Products,Export,Partner share(%)-Top 5 Export Partner,      2.36,      2.32,      2.19,      2.26,      2.33,      2.20,,,,,,,,,,,,,,,,,,,,,,,,,,
,China,All Products,Export,Partner share(%)-Top 5 Export Partner,     12.40,     12.04,      9.98,      8.81,      8.52,      8.53,      8.46,      7.59,      7.95,      7.71,      6.76,      4.49,      4.82,      3.39,      3.36,      3.04,      2.98,,,,,,,,,,,,,,,
,China,All Products,Import,Partner share(%)-Top 5 Import Partner,     18.79,     18.56,     18.12,     18.19,     18.06,     16.66,     16.00,     15.27,     14.51,     14.18,     12.38,     11.12,     10.06,      8.71,      7.20,      6.56,      5.18,      3.72,,,,,,,,,,,,,,
,France,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      3.65,
,France,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      2.78,      2.79,,
,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,      2.05,,,      1.93,      2.65,      2.71,,,      3.05,      3.38,      3.20,      3.72,      5.10,      4.61,      4.42,
,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,      3.99,      3.94,      3.94,      3.96,      3.87,      3.91,      3.99,      3.91,      4.06,      4.19,      4.35,      4.11,      3.89,,      4.15,      4.12,      4.19,      4.34,      4.28,      3.94,      4.59,      4.89,      4.77,      5.12,      5.69,      5.51,      5.45,      5.21,      6.65,      6.73,      7.89,
,Iraq,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      8.21,
,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,      1.92,      2.10,      2.20,      2.41,      2.42,      3.16,      3.46,      4.06,      4.05,      4.16,      4.96,      7.10,      7.68,      6.80,
,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,      3.10,      3.06,      3.26,      3.46,      3.36,      3.21,      3.23,      3.46,      3.53,      3.96,      3.83,      4.16,      4.42,      4.44,      4.68,      4.61,      4.28,      4.97,      4.58,      4.01,      4.23,      4.89,      4.81,      4.71,      5.49,      6.15,      5.95,      5.98,      6.44,      6.08,      7.80,
,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,,      2.38,,      2.32,      2.23,      2.54,,      2.52,,,      2.60,      2.82,      2.89,      2.43,      2.33,      2.59,      2.82,      2.13,,,,,      2.66,      2.92,      2.85,      3.46,      3.59,      3.10,      3.93,      4.82,      7.92,
,"Other Asia, nes",All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,      3.05,,,,,,,,,,,,,,,,,,,,,,,,,
,Spain,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      3.08,      3.61,,
,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,     44.53,     44.26,     44.32,     45.67,     45.39,     42.63,     37.14,     36.47,     35.27,     36.71,     36.95,     40.41,     43.89,     47.92,     49.71,     52.97,     54.06,     56.72,     55.43,     58.37,     57.27,     51.94,     48.82,     48.55,     45.88,     46.15,     46.54,     47.63,     38.31,     41.30,     22.22,
,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,     32.28,     32.58,     32.23,     32.63,     32.25,     31.81,     30.39,     31.10,     30.42,     30.58,     31.66,     31.09,     32.55,     33.12,     36.75,     38.97,     43.50,     45.87,     46.48,     48.90,     49.43,     46.94,     45.56,     44.65,     43.09,     44.40,     48.27,     52.76,     43.66,     42.88,     20.08,
,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,      2.18,,,,,,      6.19,      7.37,      7.67,      7.04,      8.09,      4.40,,      3.02,      3.63,      2.85,,      2.73,      2.39,,,,,,,,,,,,,
