Reporter,Partner,Product categories,Indicator Type,Indicator,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,World,All Products,Import,Imports (in US$ Mil),         253395.46,         315989.70,         297296.16,         286245.29,         315657.16,         345248.64,         351263.14,         317640.21,         331825.66,         277189.91,         234571.11,         249381.86,         225959.39,         169921.00,         127516.57,         108315.18,          96855.27,          75972.90,          71739.47,          68257.19,          55710.87,          61583.86,          64651.83,          53507.60,          46497.97,          27117.41,          21900.92,          20557.78,           1053.72,           1148.94,,
,...,...,Development,"GNI per capita, Atlas method (current US$)",   1554.57,   1512.41,   1489.15,   1573.29,   1722.17,   1807.54,   1760.22,   1671.50,   1528.05,   1451.00,   1380.47,   1333.94,   1182.46,   1049.91,    905.08,    741.07,    610.24,    559.99,    551.32,    557.37,    564.43,    575.38,    609.78,    596.39,    575.23,    559.62,    584.76,    620.34,    625.18,    628.01,    642.95,    655.96
,...,...,Trade Indicator,HH Market concentration index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,...,...,Trade Indicator,Index of export market penetration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,...,...,Development,Trade (% of GDP),     53.08,     53.45,     49.90,     49.59,     51.91,     57.34,     58.50,     62.48,     65.21,     61.67,     59.67,     68.28,     63.36,     60.73,     58.49,     55.91,     58.60,     59.44,     62.50,     61.57,     47.72,     50.09,     52.55,     50.19,     49.66,     44.61,     43.06,     42.91,     42.21,     42.34,     44.99,     41.17
,...,...,Development,Trade Balance (% of GDP),     -2.54,     -1.69,     -1.86,     -3.92,     -4.81,     -1.98,     -2.65,      1.25,      1.49,      1.21,     -2.91,      1.42,      0.28,      3.94,      1.60,      0.91,     -0.44,      0.82,      0.58,      6.23,      0.10,     -3.44,     -0.75,     -0.45,     -0.25,     -1.18,      0.11,      0.34,      1.42,      2.24,      4.29,      1.78
,...,...,Development,Trade in services (% of GDP),     11.45,     11.29,     10.44,     10.01,     10.37,     10.50,     10.47,     11.02,     11.57,     11.24,     11.83,     12.52,     11.85,     11.28,     10.77,     11.07,     11.43,     11.78,     12.11,     11.18,     11.82,     11.11,     10.41,     10.64,     10.32,     11.20,     11.18,      9.73,      9.37,      9.45,      8.91,      7.97
,China,All Products,Export,Partner share(%)-Top 5 Export Partner,     10.77,     15.75,     14.16,     11.65,     11.17,     12.85,     15.24,     14.66,     13.19,     14.40,     14.66,      7.66,      9.92,      4.60,      5.82,,,,,,,,,,,,,,,,,
,China,All Products,Import,Partner share(%)-Top 5 Import Partner,     17.98,     17.03,     16.71,     16.59,     16.88,     14.50,     13.59,     12.78,     12.26,     12.70,     11.76,     10.29,     10.22,      9.39,      7.68,      6.22,,,,,,,,,,,,,,,,
,France,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,      4.90,,      4.91,      4.80,,      5.49,      5.45,      6.02,      5.98,      5.60,      6.50,      6.39,      5.41,      6.47,      5.43,,,,     12.05,     13.99,,
